,date,open,close,high,low,amount,pcnt,pcnt_1d,pcnt_5d,pcnt_10d,pcnt_20d,pcnt_60d,pcnt_120d,pcnt_240d,max_price,min_price,max_price_500d,min_price_500d
0,2021-11-08,0.989,0.993,1.0,0.986,15400662.58,,1.4098690835850969,1.4098690835850969,1.4098690835850969,1.4098690835850969,1.4098690835850969,1.4098690835850969,1.4098690835850969,1.0,0.986,1.0,0.986
1,2021-11-09,0.994,0.991,0.999,0.987,15108023.26,-0.20181634712411722,1.4127144298688206,1.4127144298688206,1.4127144298688206,1.4127144298688206,1.4127144298688206,1.4127144298688206,1.4127144298688206,1.0,0.986,1.0,0.986
2,2021-11-10,0.99,0.983,0.99,0.968,15043694.49,-0.8138351983723303,3.1536113936927803,3.2553407934893213,3.2553407934893213,3.2553407934893213,3.2553407934893213,3.2553407934893213,3.2553407934893213,1.0,0.968,1.0,0.968
3,2021-11-11,0.982,0.998,1.0,0.982,14832643.16,1.5030060120240494,3.206412825651305,3.206412825651305,3.206412825651305,3.206412825651305,3.206412825651305,3.206412825651305,3.206412825651305,1.0,0.968,1.0,0.968
4,2021-11-12,1.0,0.992,1.003,0.99,14600883.65,-0.6048387096774198,2.1169354838709586,3.528225806451605,3.528225806451605,3.528225806451605,3.528225806451605,3.528225806451605,3.528225806451605,1.003,0.968,1.003,0.968
5,2021-11-15,0.993,0.99,0.994,0.983,14029335.87,-0.20202020202020218,2.0202020202020106,3.5353535353535275,3.5353535353535275,3.5353535353535275,3.5353535353535275,3.5353535353535275,3.5353535353535275,1.003,0.968,1.003,0.968
6,2021-11-16,0.99,0.993,0.999,0.988,14306856.43,0.3021148036253779,1.6112789526686822,3.524672708962731,3.524672708962731,3.524672708962731,3.524672708962731,3.524672708962731,3.524672708962731,1.003,0.968,1.003,0.968
7,2021-11-17,0.993,0.992,0.997,0.989,12809408.87,-0.1008064516129033,1.1088709677419364,3.528225806451605,3.528225806451605,3.528225806451605,3.528225806451605,3.528225806451605,3.528225806451605,1.003,0.968,1.003,0.968
8,2021-11-18,0.99,0.983,0.991,0.98,14340411.2,-0.9155645981688717,1.729399796541202,2.339776195320438,3.5605289928789343,3.5605289928789343,3.5605289928789343,3.5605289928789343,3.5605289928789343,1.003,0.968,1.003,0.968
9,2021-11-19,0.982,0.995,0.998,0.981,14732312.66,1.20603015075377,1.8090452261306549,2.3115577889447145,3.517587939698484,3.517587939698484,3.517587939698484,3.517587939698484,3.517587939698484,1.003,0.968,1.003,0.968
10,2021-11-22,0.995,1.005,1.006,0.995,14306930.06,0.9950248756218805,2.487562189054729,2.587064676616918,3.781094527363188,3.781094527363188,3.781094527363188,3.781094527363188,3.781094527363188,1.006,0.968,1.006,0.968
11,2021-11-23,1.005,1.002,1.007,1.0,9899958.39,-0.29940119760477957,1.1976047904191516,2.694610778443105,3.892215568862268,3.892215568862268,3.892215568862268,3.892215568862268,3.892215568862268,1.007,0.968,1.007,0.968
12,2021-11-24,1.002,1.003,1.005,0.998,12218536.81,0.09970089730806479,0.8973080757726718,2.6919242273180375,3.8883349950149477,3.8883349950149477,3.8883349950149477,3.8883349950149477,3.8883349950149477,1.007,0.968,1.007,0.968
13,2021-11-25,1.003,0.996,1.003,0.993,11717878.07,-0.7028112449799092,1.2048192771084238,2.7108433734939674,2.7108433734939674,3.915662650602402,3.915662650602402,3.915662650602402,3.915662650602402,1.007,0.968,1.007,0.968
14,2021-11-26,0.997,0.99,0.997,0.986,11562923.37,-0.6060606060606066,1.7171717171717074,2.6262626262626174,2.7272727272727186,3.9393939393939315,3.9393939393939315,3.9393939393939315,3.9393939393939315,1.007,0.968,1.007,0.968
15,2021-11-29,0.983,0.99,0.994,0.983,10227723.35,0.0,1.4141414141414155,2.4242424242424154,2.7272727272727186,3.9393939393939315,3.9393939393939315,3.9393939393939315,3.9393939393939315,1.007,0.968,1.007,0.968
