,date,open,close,high,low,amount,pcnt,pcnt_1d,pcnt_5d,pcnt_10d,pcnt_20d,pcnt_60d,pcnt_120d,pcnt_240d,max_price,min_price,max_price_500d,min_price_500d
0,2021-01-05,1.297,1.303,1.309,1.279,437.79,,2.3023791250959347,2.3023791250959347,2.3023791250959347,2.3023791250959347,2.3023791250959347,2.3023791250959347,2.3023791250959347,1.309,1.279,1.309,1.279
1,2021-01-06,1.303,1.298,1.304,1.292,282.31,-0.38520801232664814,2.3112480739599404,2.3112480739599404,2.3112480739599404,2.3112480739599404,2.3112480739599404,2.3112480739599404,2.3112480739599404,1.309,1.279,1.309,1.279
2,2021-01-07,1.314,1.333,1.347,1.31,2252.44,2.62565641410352,4.126031507876965,5.101275318829712,5.101275318829712,5.101275318829712,5.101275318829712,5.101275318829712,5.101275318829712,1.347,1.279,1.347,1.279
3,2021-01-08,1.333,1.347,1.411,1.333,2119.1,1.0393466963622875,7.498144023756495,9.799554565701568,9.799554565701568,9.799554565701568,9.799554565701568,9.799554565701568,9.799554565701568,1.411,1.279,1.411,1.279
4,2021-01-11,1.314,1.414,1.44,1.309,1793.2,4.738330975954734,9.264497878359265,11.38613861386139,11.38613861386139,11.38613861386139,11.38613861386139,11.38613861386139,11.38613861386139,1.44,1.279,1.44,1.279
5,2021-01-12,1.344,1.35,1.388,1.308,1938.91,-4.740740740740728,9.77777777777777,11.925925925925927,11.925925925925927,11.925925925925927,11.925925925925927,11.925925925925927,11.925925925925927,1.44,1.279,1.44,1.279
6,2021-01-13,1.35,1.348,1.359,1.331,513.83,-0.14836795252225532,5.934718100890196,10.979228486646877,11.943620178041545,11.943620178041545,11.943620178041545,11.943620178041545,11.943620178041545,1.44,1.279,1.44,1.279
7,2021-01-14,1.337,1.375,1.376,1.313,2155.59,1.9636363636363574,4.581818181818178,9.599999999999993,11.709090909090913,11.709090909090913,11.709090909090913,11.709090909090913,11.709090909090913,1.44,1.279,1.44,1.279
8,2021-01-15,1.365,1.384,1.388,1.347,981.19,0.6502890173410331,5.419075144508668,9.537572254335252,11.632947976878615,11.632947976878615,11.632947976878615,11.632947976878615,11.632947976878615,1.44,1.279,1.44,1.279
9,2021-01-18,1.383,1.382,1.383,1.323,630.75,-0.14471780028943573,4.703328509406654,9.551374819102742,11.649782923299568,11.649782923299568,11.649782923299568,11.649782923299568,11.649782923299568,1.44,1.279,1.44,1.279
